"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.568598750E-1,-1.868115234E-1,-2.188449097E-1,9.764644318E0,9.768882755E0
9.669278750E-1,-1.724414062E-1,-2.068698120E-1,9.779014435E0,9.782722243E0
9.769958750E-1,-2.049238586E-1,-2.122586060E-1,9.857002258E0,9.861416786E0
9.870638750E-1,-2.121089172E-1,-1.615141296E-1,9.831555176E0,9.835169250E0
9.971318750E-1,-1.887574768E-1,-1.971400452E-1,9.773176575E0,9.776986956E0
1.007199875E0,-1.966909790E-1,-2.180964661E-1,9.794432373E0,9.798834569E0
1.017267875E0,-1.660047913E-1,-1.981878662E-1,9.789193268E0,9.792606438E0
1.027335875E0,-1.517843628E-1,-1.728904724E-1,9.809700623E0,9.812398071E0
1.037403875E0,-1.585203552E-1,-1.663041687E-1,9.835596771E0,9.838279810E0
1.047471875E0,-1.371148682E-1,-2.180964661E-1,9.820627899E0,9.824006255E0
1.057539875E0,-1.362167358E-1,-2.335144043E-1,9.811347198E0,9.815070954E0
1.067607875E0,-1.618135071E-1,-1.893562317E-1,9.832902374E0,9.836056552E0
1.077675875E0,-1.546284485E-1,-1.775308228E-1,9.836644592E0,9.839461570E0
1.087743875E0,-1.398092651E-1,-2.020797729E-1,9.821825409E0,9.824898841E0
1.097811875E0,-1.118174744E-1,-2.149530029E-1,9.777966614E0,9.780968206E0
1.107879875E0,-5.942642212E-2,-2.100132751E-1,9.770482178E0,9.772919679E0
1.117947875E0,-6.541397095E-2,-1.878593445E-1,9.771529999E0,9.773554555E0
1.128015875E0,-8.187973022E-2,-1.670526123E-1,9.742041321E0,9.743817525E0
1.138083875E0,-7.289840698E-2,-1.579216003E-1,9.712852020E0,9.714409286E0
1.148151875E0,-5.538482666E-2,-2.160008240E-1,9.691745911E0,9.694310838E0
1.158219875E0,-4.730163574E-2,-2.725831604E-1,9.637708282E0,9.641678275E0
1.168287875E0,-5.194198608E-2,-2.481838989E-1,9.595945129E0,9.599294565E0
1.178355875E0,-4.071533203E-2,-2.185455322E-1,9.571096802E0,9.573678179E0
1.188423875E0,-2.350112915E-2,-2.191442871E-1,9.514514465E0,9.517066882E0
1.198491875E0,5.673202515E-2,-2.773731995E-1,9.436376953E0,9.440623095E0
1.208559875E0,1.004411316E-1,-2.535726929E-1,9.381141815E0,9.385105715E0
1.218627875E0,1.456471252E-1,-2.124082947E-1,9.305399323E0,9.308962720E0
1.228695875E0,1.450483704E-1,-1.983375549E-1,9.265881500E0,9.269138946E0
1.238763875E0,6.256988525E-2,-2.323168945E-1,9.156159668E0,9.159320171E0
1.248831875E0,4.954696655E-2,-3.520678711E-1,8.925339661E0,8.932418191E0
1.258899875E0,8.831634521E-2,-4.912783813E-1,8.734636230E0,8.748887032E0
1.268967875E0,1.300794983E-1,-5.231620789E-1,8.537945251E0,8.554947595E0
1.279035875E0,1.920506287E-1,-4.742138672E-1,8.215665436E0,8.231580698E0
1.289103875E0,2.478845215E-1,-4.671784973E-1,7.963140564E0,7.980683563E0
1.299171875E0,1.871109009E-1,-4.578977966E-1,7.588769073E0,7.604873236E0
1.309239875E0,2.326162720E-1,-6.996450806E-1,7.223229218E0,7.260761248E0
1.319307875E0,2.698887634E-1,-9.752220154E-1,6.830745392E0,6.905286419E0
1.329375875E0,3.201841736E-1,-1.234333191E0,6.321055298E0,6.448397972E0
1.339443875E0,5.035528564E-1,-1.390757904E0,5.927673340E0,6.109425853E0
1.349511875E0,3.973038025E0,-4.186494141E0,5.336851959E0,7.860900277E0
1.359579875E0,-5.455854492E0,1.461860046E0,3.268872345E1,3.317312201E1
1.369647875E0,-4.330943756E0,1.030996033E1,1.087772964E1,1.560055634E1
1.379715875E0,-1.429826660E0,4.172124023E0,2.346819763E0,4.995856898E0
1.389783875E0,-6.990463257E-1,-1.046174469E0,6.132597198E0,6.260343056E0
1.399851875E0,1.111438751E0,-1.678160248E0,1.405202866E1,1.419545798E1
1.409919875E0,4.168830872E-1,-6.997947693E-1,1.396969986E1,1.399342769E1
1.419987875E0,2.576142883E-1,-1.833237762E0,6.122118988E0,6.395894521E0
1.430055875E0,3.579057312E-1,-4.020639038E-1,9.903106384E0,9.917724938E0
1.440123875E0,2.890489197E-1,-3.489244080E-1,1.136810989E1,1.137713585E1
